MidEast Pipes Co Financial Model,Historical Period,,,Forecast,,,,
,2022A,2023A,2024A,2025F,2026F,,,
,,,,,,,,
Balance Sheet:,,,,,,,,
Current Assets:,,,,,,,,
Cash,"$14,498,767 ","$27,861,353 ","$33,099,684 ","$50,090,769 ","$58,841,306 ",,,
Account Recivable,"$14,671,233","$16,977,397","$19,465,753","$22,025,866","$24,751,356",,,
Inventory,"$14,005,479","$16,238,342","$18,777,452","$21,396,502","$24,221,326",,,
Total Current Assets,"$43,175,479.45","$61,077,092.47","$71,342,889.55","$93,513,137.71","$107,813,987.58",,,
Fixed Assets:,,,,,,,,
Equipment,"$45,600,000","$42,200,000","$48,400,000","$44,600,000","$40,800,000",,,
Building,"$19,500,000","$19,000,000","$18,500,000","$18,000,000","$17,500,000",,,
Vehicles &Forklifts,"$7,000,000","$6,000,000","$5,000,000","$4,000,000","$3,000,000",,,
Land,"$5,000,000","$5,000,000","$5,000,000","$5,000,000","$5,000,000",,,
Expansion,,,,,"$9,750,000",,,
Total Fixed Assets,"$77,100,000","$72,200,000","$76,900,000","$71,600,000","$76,050,000",,,
Total Assets,"$120,275,479","$133,277,092","$148,242,890","$165,113,138","$183,863,988",,,
,,,,,,,,
Current Liabilities:,,,,,,,,
Account Payable,"$14,005,479","$16,238,342","$18,777,452","$21,396,502","$24,221,326",,,
Working Capital debt,"$10,000,000","$10,000,000","$10,000,000","$10,000,000","$10,000,000",,,
Income Tax Payable,"$3,084,750","$3,796,313","$4,320,900","$4,846,080","$5,333,320",,,
Accured Expenses,"$3,060,000","$3,541,000","$4,060,000","$4,593,966","$5,162,426",,,
Total Current Liabilities,"$30,150,229","$33,575,655","$37,158,352","$40,836,548","$44,717,072",,,
Fixed Liabilites:,,,,,,,,
Equipment Loan,"$28,500,000","$25,000,000","$21,500,000","$18,000,000","$14,500,000",,,
Total Fixed Liabilites,"$28,500,000","$25,000,000","$21,500,000","$18,000,000","$14,500,000",,,
Total Liabilities ,"$58,650,229","$58,575,655","$58,658,352","$58,836,548","$59,217,072",,,
Equity:,,,,,,,,
Share Capital,"$51,000,000","$51,000,000","$51,000,000","$51,000,000","$51,000,000",,,
Retained Earnings,"$10,625,250","$23,701,438 ","$38,584,538 ","$55,276,589 ","$73,646,915 ",,,
Total Equity,"$61,625,250","$74,701,438","$89,584,538","$106,276,589","$124,646,915",,,
Total Liabilities and Equity,"$120,275,479","$133,277,092","$148,242,890","$165,113,138","$183,863,988",,,
,,,,,,,,
Balance Check:,0,0,0,0,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,item,days,2022,2023,2024,2025,2026,
,AR,35,14671233,16977397,19465753,22025866,24751356,
,Inventory,45,14005479,16238342,18777452,21396502,24221326,
,AP,45,14005479,16238342,18777452,21396502,24221326,
,,,,,,,,
,,,,,,,,
,Item,value,deprecation,2022,2023,2024,2025,2026
,Equipment,49000000,(3400000),45600000,42200000,38800000,35400000,32000000
,Building,20000000,(500000),19500000,19000000,18500000,18000000,17500000
,Vehicles &Forklifts,8000000,(1000000),7000000,6000000,5000000,4000000,3000000
,Equipment,10000000,(400000),N/A,N/A,9600000,9200000,8800000
,Expansion,10000000,(250000),N/A,N/A,N/A,N/A,9750000
,,,,,,,,
,debt,value,repayment,2022,2023,2024,2025,2026
,Equipment Loan,32000000,3500000,28500000,25000000,21500000,18000000,14500000
,Working Capital,10000000,2500000,10000000,10000000,10000000,10000000,10000000
,,,,,,,,
,Accured Expenses,Percentage,value,,,,,
,2022,2.0%,"$3,060,000",,,,,
,2023,2.0%,"$3,541,000",,,,,
,2024,2.0%,"$4,060,000",,,,,
,2025,2.0%,"$4,593,966",,,,,
,2026,2.0%,"$5,162,426",,,,,
