MidEast Pipes Co — Steel Pipe Manufacturer Discount Cash Flow,,,,,,,,
,,,,,,,,
Free Cash Flow:,,,,,,,,
Line Item,2022A,2023A,2024A,2025F,2026F,,,
EBIT,"18,110,000 ","20,922,500 ","22,904,000 ","25,982,993 ","29,819,433 ",,,
(1-Tax Rate) ,0.775,0.775,0.775,0.775,0.775,,,
Deprecation,4900000 ,4900000 ,(5300000),(5300000),(5550000),,,
Capex,0 ,0 ,"10,000,000 ",0 ,"10,000,000 ",,,
Change in Working Capital,"(2,671,233)","(2,306,164)","(2,488,356)","(2,933,882)","(3,477,692)",,,
FCF,21.6M,23.4M,4.9M,17.8M,11.0M,,,
WACC :,,,,,,,,
Line Item,value,,Year,2022A,,,,
Debt weight,0.38 ,,Total Weight,"100,125,250",,,,
Equity weight,0.62,,,,,,,
Debt Cost,0.08 ,,Debt ,debt weight,Cost of Debt ,Debt cost ,,
Equity Cost,0.32 ,,Working Capital debt,0.24,0.093,0.022142857,,
WACC ,0.23,,Equipment Loan,0.76,0.0775,0.059047619,,
,,,Total ,"42,000,000",,0.081190476,,
Year,Discounting,Pv,,,,,,
2022,0.812588443,"17,557,178",,Equity Cost Line item,Value,,,
2023,0.660299978,"15,464,953",,Risk Free Rate,27%,,,
2024,0.536552131,"2,650,007",,Beta,0.9,,,
2025,0.43599606,"7,747,956",,Market Return,33%,,,
2026,0.35428536,"3,910,514",,,,,,
PV of FCFS,,"47,330,609",,,,,,
 terminal value:,,,,,,,,
Exit Multiple:,,multiple,,Gordon Growth:,,Growth Rate,,
terminal value,187.3M,6,,terminal value,56.7 M,3%,,
PV of terminal value,66.4M,,,PV of terminal value,20.1 M,,,
,,,,,,,,
,,,,,,,,
Enterprise Value:,,113.7 M,,,,,,
Equity Value:,,133.6 M,,,,,,
