MidEast Pipes Co Financial Model,,Historical Period,,,Forecast,,,,,,,,,,,,,,,,
,,2022E,2023E,2024E,2025F,2026F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Income Statement:,EGP,,,,,,,,,,,,,,,,,,,,
revenue:,,,,,,,,,,,,,,,,,,,,,
Standard Pipes,,"90,000,000 ","99,750,000 ","110,000,000 ","121,303,258 ","133,768,004 ",,Revenue forecast,,volume24,Added volume,Volume 25,Price 24,Added Price ,Price 25,Volume 26,Price 26,,,,
Heavy Duty Pipes,,"45,000,000 ","52,700,000 ","60,800,000 ","70,144,972 ","80,926,267 ",,Standard Pipes ,,"10,000",526,"10,526","$11,000",$524,"$11,524","11,080","$12,073",,,,
Fittings,,"18,000,000 ","24,600,000 ","32,200,000 ","42,147,967 ","55,169,291 ",,Heavy Duty,,"3,800",447,"4,247","$16,000",$516,"$16,516","4,747","$17,049",,,,
Revenue,,"153,000,000 ","177,050,000 ","203,000,000 ","233,596,197 ","269,863,562 ",,Fittings ,,"46,000",5610,"51,610",$700,$117,$817,"57,904",$953,,,,
Cogs:,,,,,,,,,,,,,,,,,,,,,
Standard COGS,,"(71,100,000)","(81,035,000)","(91,600,000)","(103,542,420)","(117,041,842)",,Total COGS,EGP,2022,2023,2024,add on ,2025,2026,,,,,,
Heavy Duty COGS,,"(29,100,000)","(35,122,000)","(42,408,000)","(51,205,468)","(61,827,957)",,Standard Pipes ,,"7,900","8,530","9,160",677,"9,837","10,563",,,,,,
Fittings COGS,,"(9,900,000)","(12,054,000)","(14,398,000)","(17,197,810)","(20,542,067)",,Heavy Duty,,"9,700","10,330","11,160",897,"12,057","13,025",,,,,,
Production Depreciation,,"(3,500,000)","(3,500,000)","(3,900,000)","(3,900,000)","(4,150,000)",,Fittings ,,275,294,313,20,333,355,,,,,,
COGS:,,"(113,600,000)","(131,711,000)","(152,306,000)","(175,845,699)","(203,561,866)",,,,,,,,,,,,,,,
Gross Profit,,"39,400,000 ","45,339,000 ","50,694,000 ","57,750,499 ","66,301,696 ",,,,,,,,,,,,,,,
Operating Expenses:,,,,,,,,,,,,,,,,,,,,,
 Admin Salaries,,"(7,650,000)","(8,852,500)","(10,150,000)","(11,679,810)","(13,493,178)",,,,,,,,,,,,,,,
0,,"(4,590,000)","(5,311,500)","(6,090,000)","(7,007,886)","(8,095,907)",,,,,,,,,,,,,,,
R&U,,"(4,590,000)","(5,311,500)","(6,090,000)","(7,007,886)","(8,095,907)",,,,,,,,,,,,,,,
Other Opex,,"(3,060,000)","(3,541,000)","(4,060,000)","(4,671,924)","(5,397,271)",,,,,,,,,,,,,,,
OPEX,,"(19,890,000)","(23,016,500)","(26,390,000)","(30,367,506)","(35,082,263)",,,,,,,,,,,,,,,
EBITDA,,"19,510,000 ","22,322,500 ","24,304,000 ","27,382,993 ","31,219,433 ",,,,,,,,,,,,,,,
Deprecation:,,"(1,400,000)","(1,400,000)","(1,400,000)","(1,400,000)","(1,400,000)",,,,,,,,,,,,,,,
EBIT,,"18,110,000 ","20,922,500 ","22,904,000 ","25,982,993 ","29,819,433 ",,Interst,EGP,EL starting,EL ending,Working Capital,Value,,,,,,,,
Interst,,"(4,400,000)","(4,050,000)","(3,700,000)","(3,350,000)","(3,000,000)",,2022,,"32,000,000","28,500,000","10,000,000","4,400,000",,,,,,,,
EBT,,"13,710,000 ","16,872,500 ","19,204,000 ","22,632,993 ","26,819,433 ",,2023,,"28,500,000","25,000,000","10,000,000","4,050,000",,,,,,,,
Tax,,"(3,084,750)","(3,796,313)","(4,320,900)","(5,092,423)","(6,034,372)",,2024,,"25,000,000","21,500,000","10,000,000","3,700,000",,,,,,,,
Net Income,,10.6M,13.1M,14.9M,17.5M,20.8M,,2025,,"21,500,000","18,000,000","10,000,000","3,350,000",,,,,,,,
,,,,,,,,2026,,"18,000,000","14,500,000","10,000,000","3,000,000",,,,,,,,
Debt,,Interst rate,,Year,Deprecation ,,,,,,,,,,,,,,,,
Equipment Loan,,10%,,2022,"($3,500,000)",,,,,,,,,,,,,,,,
Working Capital,,12%,,2023,"($3,500,000)",,,,,,,,,,,,,,,,
,,,,2024,"($3,900,000)",,,,,,,,,,,,,,,,
,,,,2025,"($3,900,000)",,,,,,,,,,,,,,,,
,,,,2026,"($4,150,000)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
