MidEast Pipes Co Financial Model,Historical Period,,,Forecast,,,,,
,2022E,2023E,2024E,2025F,2026F,,,,
,,,,,,,,,
Income Statement:,,,,,,,,,
revenue:,,,,,,,,,
Standard Pipes,"$90,000,000","$99,750,000","$110,000,000","$120,120,000","$130,680,000.00",,,,
Heavy Duty Pipes,"$45,000,000","$52,700,000","$60,800,000","$69,199,520","$77,982,080.00",,,,
Fittings,"$18,000,000","$24,600,000","$32,200,000","$40,378,800","$49,459,200.00",,,,
Revenue,"$153,000,000","$177,050,000","$203,000,000","$229,698,320","$258,121,280",,,,
Cogs:,,,,,,,,,
Standard COGS,"($71,100,000)","($81,035,000)","($91,600,000)","($102,720,240)","($114,463,360)",,,,
Heavy Duty COGS,"($29,100,000)","($35,122,000)","($42,408,000)","($50,141,099)","($58,497,595)",,,,
Fittings COGS,"($9,900,000)","($12,054,000)","($14,398,000)","($16,788,068)","($19,350,912)",,,,
Production Depreciation,"($3,500,000)","($3,500,000)","($3,900,000)","($3,900,000)","($4,150,000)",,,,
COGS:,"($113,600,000)","($131,711,000)","($152,306,000)","($173,549,407)","($196,461,867)",,,,
Gross Profit,"$39,400,000 ","$45,339,000","$50,694,000","$56,148,913","$61,659,413",,,,
Operating Expenses:,,,,,,,,,
 Admin Salaries,"($7,650,000)","($8,852,500)","($10,150,000)","($11,484,916)","($12,906,064)",,,,
S&M,"($4,590,000)","($5,311,500)","($6,090,000)","($6,890,950)","($7,743,638)",,,,
R&U,"($4,590,000)","($5,311,500)","($6,090,000)","($6,890,950)","($7,743,638)",,,,
Other Opex,"($3,060,000)","($3,541,000)","($4,060,000)","($4,593,966)","($5,162,426)",,,,
OPEX,"($19,890,000)","($23,016,500)","($26,390,000)","($29,860,782)","($33,555,766)",,,,
EBITDA,"$19,510,000 ","$22,322,500 ","$24,304,000 ","$26,288,132 ","$28,103,646 ",,,,
Deprecation:,"($1,400,000)","($1,400,000)","($1,400,000)","($1,400,000)","($1,400,000)",,,,
EBIT,"$18,110,000 ","$20,922,500 ","$22,904,000 ","$24,888,132 ","$26,703,646 ",,,,
Interst,"($4,400,000)","($4,050,000)","($3,700,000)","($3,350,000)","($3,000,000)",,,,
EBT,"$13,710,000 ","$16,872,500 ","$19,204,000 ","$21,538,132 ","$23,703,646 ",,,,
Tax,"($3,084,750)","($3,796,313)","($4,320,900)","($4,846,080)","($5,333,320)",,,,
Net Income,"$10,625,250 ","$13,076,188 ","$14,883,100 ","$16,692,052 ","$18,370,326 ",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Debt,Interst rate,,,,,,,
,Equipment Loan,10%,,,,,,,
,Working Capital,12%,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Interst,EL starting,EL ending,Working Capital,Value,,Year,Deprecation ,
,2022,"$32,000,000","$28,500,000","$10,000,000 ","$4,400,000 ",,2022,"($3,500,000)",
,2023,"$28,500,000","$25,000,000","$10,000,000 ","$4,050,000 ",,2023,"($3,500,000)",
,2024,"$25,000,000","$21,500,000","$10,000,000 ","$3,700,000 ",,2024,"($3,900,000)",
,2025,"$21,500,000","$18,000,000","$10,000,000 ","$3,350,000 ",,2025,"($3,900,000)",
,2026,"$18,000,000","$14,500,000","$10,000,000 ","$3,000,000 ",,2026,"($4,150,000)",
,,,,,,,,,
,Total COGS,2022,2023,2024,add on ,2025,2026,,
,Standard Pipes ,"$7,900","$8,530","$9,160",$623,"$9,783","$10,406",,
,Heavy Duty,"$9,700","$10,330","$11,160",$781,"$11,941","$12,722",,
,Fittings ,$275,$294,$313,$19,$332,$351,,
,,,,,,,,,
,Revenue forecast,volume24,forecast,Volume 25,Price 24,added Price ,Price 25,Volume 26,Price 26
,Standard Pipes ,10000,500,10500,"$11,000",$440.00,"$11,440.00",11000,"$11,880.00"
,Heavy Duty,3800,399,4199,"$16,000",$480.00,"$16,480.00",4598,"$16,960.00"
,Fittings ,46000,4600,50600,$700,$98.00,$798.00,55200,$896.00
