MidEast Pipes Co  — Steel Pipe Manufacturer Sensitivity Analysis,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sensitivity Analysis 2025F & 2026F:,,,,,,,,,,,,,,
,Volume Sensitivity Selector,,,,,,,,,,,,,
,0% (base),,,,,,,,,,,,,
,Standard Pipes 2025,Heavy Duty 2025,Fittings 2025,Standard Pipes 2026,Heavy Duty 2026,Fittings 2026,,,,,,,,
Volume,"10,526","4,247","51,610","11,080","4,747","57,904",,,,,,,,
,,,,,,,,,,,,,,
,Cogs Sensitivity Selector,,,,,,,,,,,,,
,0% (base),,,,,,,,,,,,,
,Standard Pipes 2025,Heavy Duty 2025,Fittings 2025,Standard Pipes 2026,Heavy Duty 2026,Fittings 2026,,,,,,,,
COGS,"$9,837 ","$12,057 ",$333 ,"$10,563 ","$13,025 ",$355 ,,,,,,,,
,,,,,,,,,,,,,,
,Revenue 2025,Gross Profit 2025,Net Income 2025,Revenue 2026,Gross Profit 2026,Net income 2026,,,,,,,,
Line Item,233.6M,57.8M,17.5M,269.9M,66.3M,20.8M,,,,,,,,
,,,,,,,,,,,,,,
,,2025F,,,2026F,,,,,,,,,
,Adjusted Volume ,Standard Pipes ,Heavy Duty,Fittings ,Standard Pipes ,Heavy Duty,Fittings ,,WACC\multiple,4x,5x,6x,7x,8x
,-10%,"9,474 ","3,822 ","46,449 ","9,972 ","4,272 ","52,113",,19%,123.2M,136.2M,149.3M,162.3M,175.3M
,-5%,"10,000 ","4,035 ","49,029 ","10,526 ","4,509 ","55,008",,21%,117.1M,129.1M,141.1M,153.1M,165.1M
,0% (base),"10,526 ","4,247 ","51,610 ","11,080 ","4,747 ","57,904",,23%,111.5M,122.5M,133.6M,144.7M,157.0M
,0%,"11,053 ","4,459 ","54,190 ","11,634 ","4,984 ","60,799",,25%,106.4M,116.6M,126.8M,137.0M,147.2M
,10%,"11,579 ","4,672 ","56,771 ","12,188 ","5,221 ","63,694",,27%,101.7M,111.1M,120.5M,130.0M,139.4M
,Adjusted COGS,Standard Pipes ,Heavy Duty,Fittings ,Standard Pipes ,Heavy Duty,Fittings ,,,,,,,
,-10%,"$8,853 ","$10,851 ",$300 ,"$9,507 ","$11,723 ",$319 ,,,,,,,
,-5%,"$9,345 ","$11,454 ",$317 ,"$10,035 ","$12,374 ",$337 ,,,,,,,
,0% (base),"$9,837 ","$12,057 ",$333 ,"$10,563 ","$13,025 ",$355 ,,,,,,,
,5%,"$10,328 ","$12,660 ",$350 ,"$11,091 ","$13,677 ",$373 ,,,,,,,
,10%,"$10,820 ","$13,262 ",$367 ,"$11,619 ","$14,328 ",$390 ,,,,,,,
,,,,,,,,,,,,,,
